BOLD|TIMID
KIND|UNKIND
ACTIVE|LAZY
INTELLIGENT|CLUELESS
CHARISMATIC|UNCHARISMATIC
WISE|STUPID
DEXTEROUS|CLUMSY
STRONG|WEAK
GOOD CONSTITUTION|WEAK CONSTITUTION
FLEXIBLE|STIFF
CREATIVE|UNIMAGINATIVE
DILIGENT|NEGLECTFUL
CAREFUL|CARELESS
ENTHUSIASTIC|APATHETIC
BUBBLY|MONOTONE
CHEERFUL|MELANCHOLIC
OPTIMISTIC|PESSIMISTIC
CALM|HOTHEADED
BRAVE|COWARDLY
PATIENT|HOTHEADED
CAUTIOUS|RASH
ADAMANT|SPINELESS
PLAYFUL|SERIOUS
MATURE|IMMATURE
INTROVERT|EXTROVERT
NAUGHTY|PROPER
SKEPTICAL|NAÏVE
BASHFUL|UNABASHED
SASSY|MILD
RIGHTEOUS|CORRUPT
